iter	Passed	Remaining
560	671	525
561	672	524
562	673	522
563	674	521
564	675	520
565	676	518
566	677	517
567	678	515
568	679	514
569	680	512
570	680	511
571	681	510
572	682	508
573	683	507
574	684	505
575	685	504
576	686	503
577	687	501
578	688	500
579	689	499
580	691	498
581	692	497
582	694	496
583	696	495
584	697	494
585	699	494
586	701	493
587	702	492
588	703	491
589	705	490
590	706	488
591	707	487
592	708	486
593	710	485
594	711	484
595	712	483
596	713	481
597	715	480
598	716	479
599	718	478
600	719	477
601	720	476
602	722	475
603	723	474
604	725	473
605	726	472
606	727	470
607	728	469
608	729	468
609	731	467
610	732	466
611	733	465
612	735	464
613	736	462
614	737	461
615	739	460
616	740	459
617	741	458
618	742	457
619	744	456
620	745	454
621	746	453
622	748	452
623	749	451
624	751	450
625	752	449
626	753	448
627	754	447
628	755	445
629	757	444
630	758	443
631	759	442
632	761	441
633	762	440
634	763	439
635	765	437
636	766	436
637	768	435
638	769	434
639	770	433
640	771	432
641	773	431
642	774	429
643	775	428
644	776	427
645	778	426
646	779	425
647	781	424
648	782	423
649	783	422
650	785	420
651	786	419
652	788	418
653	789	417
654	790	416
655	792	415
656	793	414
657	794	413
658	796	411
659	797	410
660	798	409
661	799	408
662	801	407
663	802	406
664	803	404
665	805	403
666	806	402
667	807	401
668	809	400
669	810	399
670	811	398
671	813	396
672	814	395
673	816	394
674	817	393
675	819	392
676	820	391
677	822	390
678	823	389
679	824	388
680	826	386
681	827	385
682	829	384
683	830	383
684	831	382
685	833	381
686	834	380
687	836	379
688	837	377
689	838	376
690	839	375
691	841	374
692	842	373
693	844	372
694	845	371
695	846	369
696	848	368
697	849	367
698	850	366
699	851	365
700	853	363
701	854	362
702	856	361
703	857	360
704	859	359
705	860	358
706	861	356
707	862	355
708	864	354
709	865	353
710	866	352
711	868	351
712	869	349
713	870	348
714	872	347
715	873	346
716	875	345
717	876	344
718	877	342
719	878	341
720	879	340
721	881	339
722	882	338
723	883	336
724	885	335
725	886	334
726	888	333
727	889	332
728	891	331
729	892	330
730	894	329
731	895	327
732	896	326
733	897	325
734	899	324
735	900	323
736	902	321
737	903	320
738	904	319
739	906	318
740	907	317
741	909	316
742	910	314
743	911	313
744	913	312
745	914	311
746	916	310
747	917	309
748	919	308
749	920	306
750	921	305
751	923	304
752	924	303
753	925	302
754	926	300
755	928	299
756	930	298
757	931	297
758	932	296
759	934	294
760	935	293
761	936	292
762	938	291
763	939	290
764	941	289
765	942	287
766	944	286
767	945	285
768	946	284
769	948	283
770	949	282
771	950	280
772	952	279
773	954	278
774	955	277
775	957	276
776	959	275
777	963	274
778	964	273
779	966	272
780	967	271
781	968	269
782	969	268
783	970	267
784	971	266
785	972	264
786	973	263
787	974	262
788	975	260
789	977	259
790	978	258
791	979	257
792	980	255
793	981	254
794	982	253
795	983	252
796	984	250
797	985	249
798	986	248
799	987	246
800	989	245
801	990	244
802	991	243
803	992	241
804	993	240
805	994	239
806	995	238
807	996	236
808	997	235
809	999	234
810	1000	233
811	1001	231
812	1002	230
813	1003	229
814	1004	227
815	1005	226
816	1006	225
817	1007	224
818	1008	222
819	1009	221
820	1010	220
821	1011	218
822	1012	217
823	1013	216
824	1014	215
825	1015	213
826	1016	212
827	1017	211
828	1018	210
829	1019	208
830	1020	207
831	1021	206
832	1022	204
833	1023	203
834	1024	202
835	1025	201
836	1026	199
837	1027	198
838	1028	197
839	1029	196
840	1030	194
841	1031	193
842	1032	192
843	1033	191
844	1034	189
845	1035	188
846	1036	187
847	1037	185
848	1038	184
849	1039	183
850	1040	182
851	1041	180
852	1042	179
853	1043	178
854	1044	177
855	1045	175
856	1046	174
857	1047	173
858	1048	172
859	1049	170
860	1050	169
861	1051	168
862	1052	167
863	1053	165
864	1054	164
865	1055	163
866	1056	162
867	1057	160
868	1058	159
869	1059	158
870	1060	157
871	1061	155
872	1062	154
873	1063	153
874	1064	152
875	1065	150
876	1066	149
877	1067	148
878	1068	147
879	1069	145
880	1070	144
881	1071	143
882	1072	142
883	1073	140
884	1074	139
885	1075	138
886	1076	137
887	1077	135
888	1078	134
889	1079	133
890	1080	132
891	1081	130
892	1082	129
893	1083	128
894	1084	127
895	1086	126
896	1087	124
897	1088	123
898	1089	122
899	1090	121
900	1091	119
901	1092	118
902	1093	117
903	1094	116
904	1095	114
905	1096	113
906	1097	112
907	1098	111
908	1099	110
909	1100	108
910	1101	107
911	1102	106
912	1103	105
913	1104	103
914	1105	102
915	1106	101
916	1107	100
917	1108	99
918	1109	97
919	1110	96
920	1111	95
921	1112	94
922	1113	92
923	1114	91
924	1115	90
925	1116	89
926	1117	88
927	1118	86
928	1119	85
929	1120	84
930	1121	83
931	1122	81
932	1123	80
933	1124	79
934	1125	78
935	1126	77
936	1127	75
937	1128	74
938	1129	73
939	1130	72
940	1131	70
941	1132	69
942	1133	68
943	1134	67
944	1135	66
945	1136	64
946	1137	63
947	1138	62
948	1139	61
949	1140	60
950	1141	58
951	1142	57
952	1143	56
953	1144	55
954	1145	53
955	1146	52
956	1147	51
957	1148	50
958	1149	49
959	1150	47
960	1151	46
961	1152	45
962	1153	44
963	1154	43
964	1155	41
965	1156	40
966	1157	39
967	1158	38
968	1159	37
969	1160	35
970	1161	34
971	1162	33
972	1163	32
973	1164	31
974	1165	29
975	1166	28
976	1167	27
977	1168	26
978	1169	25
979	1170	23
980	1171	22
981	1172	21
982	1173	20
983	1174	19
984	1175	17
985	1176	16
986	1177	15
987	1178	14
988	1179	13
989	1180	11
990	1181	10
991	1182	9
992	1183	8
993	1184	7
994	1185	5
995	1186	4
996	1187	3
997	1188	2
998	1189	1
999	1190	0
